tst,char,file
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
000,111,222
